Index,Review Title,Rating,Review Text,Date,Verified Purchase
0,Content of the item,5.0 out of 5 stars,Item is very use full and i liked this product,Reviewed in India on 18 February 2024,Verified Purchase
1,Too good,5.0 out of 5 stars,Very good,Reviewed in India on 16 February 2024,Verified Purchase
2,Nice,5.0 out of 5 stars,Good one,Reviewed in India on 12 February 2024,Verified Purchase
3,Good,5.0 out of 5 stars,Good,Reviewed in India on 6 February 2024,Verified Purchase
4,Good,5.0 out of 5 stars,"Going to use it twice a week after brushing only after dinner, as it contains -OH. Overall, a steal deal. Great.",Reviewed in India on 31 January 2024,Verified Purchase
5,Service,5.0 out of 5 stars,I like,Reviewed in India on 30 January 2024,Verified Purchase
6,Product is very good,5.0 out of 5 stars,"Very good product,value for money",Reviewed in India on 25 January 2024,Verified Purchase
7,Good,5.0 out of 5 stars,On time,Reviewed in India on 20 January 2024,Verified Purchase
8,It is original and more effective,5.0 out of 5 stars,It is better than any other mouthwash,Reviewed in India on 11 January 2024,Verified Purchase
9,Product,5.0 out of 5 stars,Very nice product,Reviewed in India on 9 January 2024,Verified Purchase
10,Effective Freshness  But a Strong Sensation,4.0 out of 5 stars,"Listerine Cool Mint Mouthwash definitely leaves your mouth feeling clean and refreshed. However, the intensity of the minty flavor can be a bit much for some people.Pros:Germ-fighting power:  There's no denying that Listerine does that powerful ""clean feeling"" that  indicates it's working hard at killing germs.Long-lasting freshness: The minty sensation will linger for a good amount of time after use.Value pack: Getting three bottles is a decent deal if you know you'll use them all.Cons:Overpowering mint: Some may find the initial coolness almost burning; it can be harsh on sensitive mouths.Leaves a dry feeling: It can leave your mouth feeling dry after extended use.Preference-based: If you don't enjoy very strong mint, this isn't the mouthwash for you.Overall: Listerine Cool Mint is effective at giving your mouth a deep clean and refreshing feeling.  However, if you have a sensitive mouth or aren't a fan of intense mint flavors, be aware that this might not be the best option.  Those who can tolerate the strong flavor will likely be happy with the cleaning power!",Reviewed in India on 12 February 2024,Verified Purchase
11,Best mouth wash,4.0 out of 5 stars,It cause burning sensation but it is effective.,Reviewed in India on 6 February 2024,Verified Purchase
12,Cool mint,4.0 out of 5 stars,Good test and cool mint. Getting fresh energy after mouth wash.,Reviewed in India on 15 January 2024,Verified Purchase
13,effective but very strong burning taste,4.0 out of 5 stars,effective but very strong burning taste,Reviewed in India on 6 January 2024,Verified Purchase
