Index,Review Title,Rating,Review Text,Date,Verified Purchase
0,Damaged Product,2.0 out of 5 stars,Damaged Product.,Reviewed in India on 7 February 2024,Verified Purchase
1,not made for silver cleaning.,3.0 out of 5 stars,instead use pitambari for cleaning silver items,Reviewed in India on 17 November 2023,Verified Purchase
2,Ok,3.0 out of 5 stars,Good product but stupid can.,Reviewed in India on 11 August 2023,Verified Purchase
3,Damage product received,1.0 out of 5 stars,Bottle was broken and poweder spread all over in box,Reviewed in India on 8 July 2023,Verified Purchase
4,Damaged peice,1.0 out of 5 stars,"The Tin of the container was damaged and the Powder has come out. Though it is not refundable it should be replaced by fresh one and in future such type of damage product should not be deliver to the customer. If such non refundable damaged product is noticed before taking delivery then refuse to accepted before the delivery person put his rematks ""Order Delivered""",Reviewed in India on 14 October 2022,Verified Purchase
5,Not that great,1.0 out of 5 stars,Not at all works for whitening teeth’s just a useless product,Reviewed in India on 21 August 2022,Verified Purchase
6,Not natural as you think,1.0 out of 5 stars,I felt it as a chemical rather than natural,Reviewed in India on 19 November 2021,Verified Purchase
7,Good product,3.0 out of 5 stars,Good product,Reviewed in India on 13 December 2020,Verified Purchase
8,Total money wasted,3.0 out of 5 stars,Found rusted inside before expired,Reviewed in India on 17 October 2018,Verified Purchase
9,Three Stars,3.0 out of 5 stars,Good,Reviewed in India on 1 April 2018,Verified Purchase
10,Damaged Product,2.0 out of 5 stars,Damaged Product.,Reviewed in India on 7 February 2024,Verified Purchase
11,not made for silver cleaning.,3.0 out of 5 stars,instead use pitambari for cleaning silver items,Reviewed in India on 17 November 2023,Verified Purchase
12,Ok,3.0 out of 5 stars,Good product but stupid can.,Reviewed in India on 11 August 2023,Verified Purchase
13,Damage product received,1.0 out of 5 stars,Bottle was broken and poweder spread all over in box,Reviewed in India on 8 July 2023,Verified Purchase
14,Damaged peice,1.0 out of 5 stars,"The Tin of the container was damaged and the Powder has come out. Though it is not refundable it should be replaced by fresh one and in future such type of damage product should not be deliver to the customer. If such non refundable damaged product is noticed before taking delivery then refuse to accepted before the delivery person put his rematks ""Order Delivered""",Reviewed in India on 14 October 2022,Verified Purchase
15,Not that great,1.0 out of 5 stars,Not at all works for whitening teeth’s just a useless product,Reviewed in India on 21 August 2022,Verified Purchase
16,Not natural as you think,1.0 out of 5 stars,I felt it as a chemical rather than natural,Reviewed in India on 19 November 2021,Verified Purchase
17,Good product,3.0 out of 5 stars,Good product,Reviewed in India on 13 December 2020,Verified Purchase
18,Total money wasted,3.0 out of 5 stars,Found rusted inside before expired,Reviewed in India on 17 October 2018,Verified Purchase
19,Three Stars,3.0 out of 5 stars,Good,Reviewed in India on 1 April 2018,Verified Purchase
20,Powerful,5.0 out of 5 stars,Cleans your tooth better than any tooth pastes including their own brand.,Reviewed in India on 28 January 2024,Verified Purchase
21,Good,5.0 out of 5 stars,Like,Reviewed in India on 25 November 2023,Verified Purchase
22,Good,5.0 out of 5 stars,Good product,Reviewed in India on 30 October 2023,Verified Purchase
23,Liked,5.0 out of 5 stars,Taste,Reviewed in India on 21 September 2023,Verified Purchase
24,Cleans silver jewellery,5.0 out of 5 stars,It cleans silver jewellery miraculously.plz do try to clean with Colgate tooth powder.it works like wonders.use a soft velvet clothe put little powder and rub silver jewellery.it will shine,Reviewed in India on 27 August 2023,N/A
25,Excellent product,5.0 out of 5 stars,My Childhood memories are with Colgate,Reviewed in India on 9 August 2023,Verified Purchase
26,Good product,5.0 out of 5 stars,Goof product,Reviewed in India on 31 July 2023,Verified Purchase
27,Silver cleaning powder,5.0 out of 5 stars,Take powder and dry rub on the silver article . It cleans silver quickly and without damaging the metal.,Reviewed in India on 19 July 2023,Verified Purchase
28,Good quality,5.0 out of 5 stars,I am using it for cleaning silver items and this works perfectly,Reviewed in India on 15 July 2023,Verified Purchase
29,Back to olden days,5.0 out of 5 stars,"Back to childhood, we used it. Once again doing it",Reviewed in India on 8 July 2023,Verified Purchase
30,Nice product,4.0 out of 5 stars,Back to the past. Nice product.,Reviewed in India on 17 December 2023,Verified Purchase
31,Old is gold,4.0 out of 5 stars,Freshness is good. It creates a childhood memories. Your parents gonna love it,Reviewed in India on 26 November 2023,Verified Purchase
32,Old is gold,4.0 out of 5 stars,Really good filling to use this.,Reviewed in India on 23 July 2023,Verified Purchase
33,Good,4.0 out of 5 stars,Packing of supplies not proper,Reviewed in India on 29 June 2023,Verified Purchase
34,Good,4.0 out of 5 stars,Good,Reviewed in India on 11 December 2021,Verified Purchase
35,Good,4.0 out of 5 stars,You may or may not want to use it to clean teeth. But it is amazing to polish silverware with. Don't throw out after expiry!,Reviewed in India on 17 May 2021,N/A
36,Nice,4.0 out of 5 stars,"Removes yellow stains from teeth in 3 days, nice👍",Reviewed in India on 18 April 2021,Verified Purchase
37,One Package damaged,4.0 out of 5 stars,Averge Service,Reviewed in India on 23 August 2020,Verified Purchase
38,Nostalgia-  I used it a lot in my childhood- every middle class family has it stored in house,4.0 out of 5 stars,"I have used this product in my childhood and quite nostalgic about it... I am not sure about others but I liked the taste and even swallowed .. not recommended to do so 😛 besides,  those saying they get blisters. I would say , Bhagwan se darro 😛One of the oldest products in the market and and reliable.Cons- the powder form needs to use it carefully otherwise you will get it all over face.",Reviewed in India on 2 February 2020,N/A
39,Four Stars,4.0 out of 5 stars,best as compare to toothpaste,Reviewed in India on 3 June 2017,Verified Purchase
40,Nice product,4.0 out of 5 stars,Back to the past. Nice product.,Reviewed in India on 17 December 2023,Verified Purchase
41,Old is gold,4.0 out of 5 stars,Freshness is good. It creates a childhood memories. Your parents gonna love it,Reviewed in India on 26 November 2023,Verified Purchase
42,Old is gold,4.0 out of 5 stars,Really good filling to use this.,Reviewed in India on 23 July 2023,Verified Purchase
43,Good,4.0 out of 5 stars,Packing of supplies not proper,Reviewed in India on 29 June 2023,Verified Purchase
44,Good,4.0 out of 5 stars,Good,Reviewed in India on 11 December 2021,Verified Purchase
45,Good,4.0 out of 5 stars,You may or may not want to use it to clean teeth. But it is amazing to polish silverware with. Don't throw out after expiry!,Reviewed in India on 17 May 2021,N/A
46,Nice,4.0 out of 5 stars,"Removes yellow stains from teeth in 3 days, nice👍",Reviewed in India on 18 April 2021,Verified Purchase
47,One Package damaged,4.0 out of 5 stars,Averge Service,Reviewed in India on 23 August 2020,Verified Purchase
48,Nostalgia-  I used it a lot in my childhood- every middle class family has it stored in house,4.0 out of 5 stars,"I have used this product in my childhood and quite nostalgic about it... I am not sure about others but I liked the taste and even swallowed .. not recommended to do so 😛 besides,  those saying they get blisters. I would say , Bhagwan se darro 😛One of the oldest products in the market and and reliable.Cons- the powder form needs to use it carefully otherwise you will get it all over face.",Reviewed in India on 2 February 2020,N/A
49,Four Stars,4.0 out of 5 stars,best as compare to toothpaste,Reviewed in India on 3 June 2017,Verified Purchase
50,not made for silver cleaning.,3.0 out of 5 stars,instead use pitambari for cleaning silver items,Reviewed in India on 17 November 2023,Verified Purchase
51,Ok,3.0 out of 5 stars,Good product but stupid can.,Reviewed in India on 11 August 2023,Verified Purchase
52,Good product,3.0 out of 5 stars,Good product,Reviewed in India on 13 December 2020,Verified Purchase
53,Total money wasted,3.0 out of 5 stars,Found rusted inside before expired,Reviewed in India on 17 October 2018,Verified Purchase
54,Three Stars,3.0 out of 5 stars,Good,Reviewed in India on 1 April 2018,Verified Purchase
55,Nice,3.0 out of 5 stars,Remembering good old days. Good deal and good product.,Reviewed in India on 2 November 2015,Verified Purchase
56,Three Stars,3.0 out of 5 stars,Ok - does what it is supposed to do :),Reviewed in India on 2 November 2015,Verified Purchase
57,Three Stars,3.0 out of 5 stars,ok for elderly people,Reviewed in India on 29 October 2015,Verified Purchase
58,N/A,3.0 out of 5 stars,"I found this product several months ago while looking for ways to reduce the plastic coming into my home. I've been happy with it. It even has some fluoride, which my dentist likes. But this time, the cans came individually wrapped in plastic! Why? Seems completely unnecessary and defeats my reason for buying it. Very disappointing. I won't order it again.",Reviewed in the United States on 3 December 2023,Verified Purchase
59,N/A,3.0 out of 5 stars,"I couldn’t get plug out so, I ended up dumping contents in a jar.  Too bad because I liked the taste but, won’t buy again.",Reviewed in the United States on 15 September 2023,Verified Purchase
60,Damaged Product,2.0 out of 5 stars,Damaged Product.,Reviewed in India on 7 February 2024,Verified Purchase
61,Two Stars,2.0 out of 5 stars,"I GOT IT IN MRP , GOT NO DISCOUNT",Reviewed in India on 25 May 2016,Verified Purchase
62,N/A,2.0 out of 5 stars,The quality has got bad. …,Reviewed in the United Kingdom on 22 October 2023,Verified Purchase
63,N/A,2.0 out of 5 stars,"the tooth powder is as I remember. packageing sucked. both metal containers came crushed, because it was sent in a slightly paded paper envelope. The tooth powder is useable thats why a 2 star rating.",Reviewed in the United States on 12 March 2023,Verified Purchase
